Timestamp: 2024-08-29T05:50:11.331Z, Sine: 2.145620239077832, Sawtooth: 0.6883240825948567, Square: 10.0, Triangle: 1.3766481651897133
Timestamp: 2024-08-29T05:50:11.637Z, Sine: 7.489219748095773, Sawtooth: 2.6942823399359015, Square: 10.0, Triangle: 5.388564679871804
Timestamp: 2024-08-29T05:50:12.648Z, Sine: 9.956261268794085, Sawtooth: 4.702178094271507, Square: 10.0, Triangle: 9.404356188543014
Timestamp: 2024-08-29T05:50:13.648Z, Sine: 8.598843241761129, Sawtooth: 6.705355705710449, Square: 10.0, Triangle: 6.589288588579104
Timestamp: 2024-08-29T05:50:14.653Z, Sine: 3.9268186499349316, Sawtooth: 8.715473548256032, Square: 10.0, Triangle: 2.569052903487939
Timestamp: 2024-08-29T05:50:15.659Z, Sine: -2.250048296263167, Sawtooth: -9.277602102090322, Square: -10.0, Triangle: -1.444795795819357
Timestamp: 2024-08-29T05:50:16.673Z, Sine: -7.568326509021729, Sawtooth: -7.267457697697968, Square: -10.0, Triangle: -5.465084604604067
Timestamp: 2024-08-29T05:50:17.670Z, Sine: -9.96733611971398, Sawtooth: -5.257345926431647, Square: -10.0, Triangle: -9.485308147136708
Timestamp: 2024-08-29T05:50:18.674Z, Sine: -8.52235107738294, Sawtooth: -3.2475339245788994, Square: -10.0, Triangle: -6.495067849157799
Timestamp: 2024-08-29T05:50:19.685Z, Sine: -3.790315582258505, Sawtooth: -1.237428224591841, Square: -10.0, Triangle: -2.474856449183682
Timestamp: 2024-08-29T05:50:20.679Z, Sine: 2.3896995359543842, Sawtooth: 0.7680974541017698, Square: 10.0, Triangle: 1.5361949082035395
Timestamp: 2024-08-29T05:50:21.684Z, Sine: 7.6449214623121335, Sawtooth: 2.770101790823285, Square: 10.0, Triangle: 5.54020358164657
Timestamp: 2024-08-29T05:50:22.684Z, Sine: 9.974686969668223, Sawtooth: 4.7734683708292645, Square: 10.0, Triangle: 9.546936741658529
Timestamp: 2024-08-29T05:50:23.707Z, Sine: 8.470737464708954, Sawtooth: 6.783621882140512, Square: 10.0, Triangle: 6.432756235718978
Timestamp: 2024-08-29T05:50:24.684Z, Sine: 3.723100427636767, Sawtooth: 8.785658093078155, Square: 10.0, Triangle: 2.4286838138436933
Timestamp: 2024-08-29T05:50:25.699Z, Sine: -2.4713103990024634, Sawtooth: -9.205121854797168, Square: -10.0, Triangle: -1.589756290405667
Timestamp: 2024-08-29T05:50:26.698Z, Sine: -7.71527466363723, Sawtooth: -7.19493039799053, Square: -10.0, Triangle: -5.6101392040189415
Timestamp: 2024-08-29T05:50:27.706Z, Sine: -9.981999327263418, Sawtooth: -5.191018161760858, Square: -10.0, Triangle: -9.617963676478292
Timestamp: 2024-08-29T05:50:28.714Z, Sine: -8.414135304646901, Sawtooth: -3.182760407399242, Square: -10.0, Triangle: -6.365520814798484
